5310,48,281
5590,17,39
5552,28,71
4789,5,9
4788,4,10
4787,26,83
4786,94,388
4785,6,29
4784,12,68
4783,5,9
4782,225,895
4781,54,173
1949,71,230
5779,0,0
4838,55,203
5229,62,369
5461,0,0
5460,19,142
5463,6,29
5228,2,4
5465,0,0
5467,5,14
5468,226,1391
5618,28,178
4732,0,0
5309,28,289
5265,321,1698
5264,47,374
4736,2,4
4737,6,35
4734,0,0
4735,9,27
5300,26,176
5301,8,69
4738,2,7
4739,124,141
5304,90,567
5305,36,297
5269,95,428
5307,232,556
4831,8,55
4830,42,210
5221,120,826
5594,12,62
5220,3,7
1083,5,27
5488,11,51
5414,0,0
5415,21,128
5416,55,69
5417,9,43
5410,292,1686
5411,2,2
5412,2,3
5413,20,156
5419,2,6
5500,33,188
5003,16,158
5002,0,0
5000,12,116
5007,2,11
5006,1,4
5005,0,0
5004,18,43
5009,3,4
5008,84,253
5670,55,487
5671,4,5
5672,6,23
5677,15,45
5678,41,525
5679,6,13
5773,0,0
5772,0,0
5775,0,0
5774,0,0
5777,0,0
5776,5,61
4812,5,14
4811,0,0
4810,3,8
4817,73,187
4816,18,43
4815,10,54
5578,211,579
5576,72,279
5575,18,77
4818,2,10
5573,72,263
5572,2,8
5571,12,24
5619,55,98
4958,20,274
4959,2,3
4952,35,133
4950,103,685
4951,0,0
4957,11,13
4954,11,36
4955,7,10
5139,68,287
5138,2,3
5137,3,8
5136,89,1094
5134,97,1031
5133,94,843
5132,1,1
5131,165,1068
5130,80,813
5298,160,311
5754,20,196
5541,8,59
5770,56,357
5293,157,667
4776,90,473
4774,9,78
4775,19,95
4773,3,10
4770,6,18
4771,2,7
5291,69,278
4778,163,1040
4779,20,124
5182,97,516
5183,29,278
5180,44,74
5181,24,119
5187,37,192
5184,205,676
5222,9,21
6750,1,19
5189,38,168
5227,11,82
5226,14,62
5225,74,1233
5224,36,377
5793,55,418
5792,7,30
5791,15,106
5790,4,6
6747,4,98
5216,16,109
5542,3,5
5217,1,2
5459,31,71
5355,6,22
5354,12,56
5353,23,78
5352,156,758
5351,0,0
5234,34,229
5450,0,0
5451,551,3457
5452,2,2
5453,14,109
5454,8,29
5543,99,364
5359,78,364
5358,57,294
5146,117,835
5546,0,0
5144,59,334
5214,54,276
5357,10,62
4312,0,0
4313,0,0
4314,0,0
4315,0,0
4316,0,0
5142,2,5
5068,39,110
5532,14,66
5531,483,1444
5530,44,284
5140,16,129
5535,15,286
5534,15,89
5539,37,212
4918,6,25
4919,13,130
4916,9,29
4917,88,563
4914,27,182
4915,29,175
4912,22,127
4913,2,6
4911,185,660
5462,8,27
5173,10,132
5172,72,886
5170,16,54
5177,124,1168
5174,168,738
5178,5,26
